mode,exp,mp2,physnet_MP2_NN1,physnet_MP2_NN2
1,0,-47.12,-84.94,-55.88
2,479.00,477.77,479.22,478.01
3,599.00,593.54,593.12,594.60
4,647.00,663.10,661.89,662.60
5,921.00,923.87,922.30,925.33
6,1097.00,1105.09,1104.10,1106.03
7,1153.00,1119.84,1120.33,1119.07
8,1384.00,1385.96,1385.86,1385.15
9,1413.00,1395.09,1394.18,1394.87
10,1449.00,1448.14,1447.35,1448.15
11,1488.00,1449.79,1448.21,1450.30
12,1582.00,1727.56,1713.45,1726.72
13,2965.00,3006.22,3011.56,3008.23
14,3048.00,3086.01,3086.54,3087.68
15,3048.00,3106.89,3107.14,3101.98