mode,physnet_MP2_NN1,physnet_MP2_NN2,mp2,physnet_CCSD(T)_NN1,physnet_CCSD(T)_NN2,CCSD(T)
1,289.86,289.85,289.38,286.35,286.33,285.95  
2,1056.62,1056.61,1056.64,1053.43,1053.41,1053.38
3,1088.65,1088.59,1088.63,1082.20,1082.18,1082.11 
4,1183.93,1183.91,1183.87,1175.88,1175.85,1175.72
5,1371.59,1371.60,1371.57,1379.10,1379.11,1379.01
6,1491.97,1491.96,1492.01,1483.92,1483.91,1483.86
7,1525.40,1525.42,1525.41,1512.18,1512.20,1512.16
8,1535.71,1535.79,1535.80,1522.63,1522.65,1522.67
9,3053.97,3054.05,3053.94,3010.68,3010.64,3010.43
10,3125.24,3125.24,3125.08,3068.92,3068.88,3068.65
11,3182.86,3182.88,3182.91,3128.02,3127.96,3127.97
12,3859.73,3859.80,3859.62,3843.44,3843.41,3843.27